timestamp,model,prompt_id,input_tokens,output_tokens,processed_tokens,tokens_per_second,duration_s
2026-04-08 14:51:44,gemma4:31b-cloud,1,16,12,28,19.93,0.6022
2026-04-08 14:51:44,gemma4:31b-cloud,2,20,722,742,54.13,13.3376
2026-04-08 14:51:44,gemma4:31b-cloud,3,23,641,664,54.03,11.8631
2026-04-08 14:51:44,gemma4:31b-cloud,4,19,719,738,53.70,13.3887
2026-04-08 14:51:44,gemma4:31b-cloud,5,19,83,102,44.98,1.8453
2026-04-08 14:56:53,lfm2:24b,1,16,31,47,24.13,1.2846
2026-04-08 14:56:53,lfm2:24b,2,22,414,436,24.74,16.7322
2026-04-08 14:56:53,lfm2:24b,3,25,109,134,25.40,4.2915
2026-04-08 14:56:53,lfm2:24b,4,19,365,384,24.81,14.7142
2026-04-08 14:56:53,lfm2:24b,5,20,95,115,25.93,3.6639
